,./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/train_gsm8k-gpt4o_train_cluster_3_train_grad.pt,./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/train_gsm8k-gpt4o_train_cluster_0_train_grad.pt,./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/train_gsm8k-gpt4o_train_cluster_2_train_grad.pt,./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/train_gsm8k-gpt4o_train_cluster_4_train_grad.pt,./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/train_gsm8k-r1_train_cluster_1_train_grad.pt,./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/train_gsm8k-r1_train_cluster_3_train_grad.pt,./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/train_gsm8k-r1_train_cluster_0_train_grad.pt,./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/train_gsm8k-r1_train_cluster_2_train_grad.pt,./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/train_s1K-mix_s1_brief_cot_cluster_1_train_grad.pt,./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/train_s1K-mix_s1_brief_cot_cluster_3_train_grad.pt,./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/train_s1K-mix_s1_brief_cot_cluster_0_train_grad.pt,./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/train_s1K-mix_s1_brief_cot_cluster_2_train_grad.pt
./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/val_gsm8k-gpt4o_train_cluster_2_validation_grad.pt,1.7955899238586426e-06,2.205371856689453e-06,1.5497207641601562e-06,1.519918441772461e-06,-2.384185791015625e-07,-1.1324882507324219e-06,-1.7881393432617188e-07,1.430511474609375e-06,-3.361701965332031e-05,-3.457069396972656e-05,-3.361701965332031e-05,-3.266334533691406e-05
./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/val_gsm8k-gpt4o_train_cluster_0_validation_grad.pt,1.1861324310302734e-05,1.3172626495361328e-05,1.990795135498047e-05,1.6808509826660156e-05,-5.781650543212891e-06,-7.867813110351562e-06,-3.3080577850341797e-06,-3.0994415283203125e-06,2.4080276489257812e-05,2.1576881408691406e-05,2.276897430419922e-05,1.9431114196777344e-05
./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/val_gsm8k-gpt4o_train_cluster_4_validation_grad.pt,6.496906280517578e-06,5.364418029785156e-06,4.589557647705078e-06,4.947185516357422e-06,-3.147125244140625e-05,-2.6941299438476562e-05,-2.8133392333984375e-05,-2.4437904357910156e-05,-2.8133392333984375e-05,-2.765655517578125e-05,-2.7418136596679688e-05,-2.574920654296875e-05
./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/val_gsm8k-gpt4o_train_cluster_3_validation_grad.pt,7.599592208862305e-06,7.510185241699219e-06,1.5974044799804688e-05,1.5616416931152344e-05,9.000301361083984e-06,-1.2516975402832031e-06,6.556510925292969e-06,9.47713851928711e-06,0.000118255615234375,0.00011491775512695312,0.00011014938354492188,0.00010061264038085938
./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/val_gsm8k-r1_train_cluster_2_validation_grad.pt,1.1563301086425781e-05,6.794929504394531e-06,3.084540367126465e-06,4.26173210144043e-06,0.000270843505859375,0.000270843505859375,0.00026702880859375,0.0002498626708984375,8.153915405273438e-05,8.487701416015625e-05,7.486343383789062e-05,8.821487426757812e-05
./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/val_gsm8k-r1_train_cluster_0_validation_grad.pt,1.1861324310302734e-05,9.655952453613281e-06,1.6450881958007812e-05,1.0371208190917969e-05,0.0003681182861328125,0.000362396240234375,0.000362396240234375,0.000335693359375,9.250640869140625e-05,9.632110595703125e-05,8.7738037109375e-05,9.72747802734375e-05
./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/val_gsm8k-r1_train_cluster_1_validation_grad.pt,9.119510650634766e-06,6.9141387939453125e-06,1.9788742065429688e-05,9.298324584960938e-06,0.000396728515625,0.00037384033203125,0.0003814697265625,0.0003604888916015625,0.00012969970703125,0.00012683868408203125,0.0001220703125,0.0001220703125
./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/val_gsm8k-r1_train_cluster_3_validation_grad.pt,1.0609626770019531e-05,1.0192394256591797e-05,1.519918441772461e-05,8.702278137207031e-06,0.0003814697265625,0.000377655029296875,0.0003662109375,0.000354766845703125,2.8252601623535156e-05,3.123283386230469e-05,2.5987625122070312e-05,3.314018249511719e-05
./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/val_s1K-mix_s1_brief_cot_cluster_2_validation_grad.pt,7.420778274536133e-06,7.033348083496094e-06,5.5730342864990234e-06,1.2218952178955078e-05,9.679794311523438e-05,0.00010538101196289062,0.00010204315185546875,7.915496826171875e-05,0.000598907470703125,0.000606536865234375,0.000576019287109375,0.000583648681640625
./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/val_s1K-mix_s1_brief_cot_cluster_0_validation_grad.pt,4.351139068603516e-06,7.078051567077637e-07,3.337860107421875e-06,6.854534149169922e-06,8.20159912109375e-05,8.296966552734375e-05,8.392333984375e-05,6.818771362304688e-05,0.000347137451171875,0.0003528594970703125,0.000339508056640625,0.000339508056640625
./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/val_s1K-mix_s1_brief_cot_cluster_1_validation_grad.pt,1.0251998901367188e-05,3.904104232788086e-06,7.569789886474609e-06,9.298324584960938e-06,9.298324584960938e-05,9.918212890625e-05,9.822845458984375e-05,7.677078247070312e-05,0.000522613525390625,0.00052642822265625,0.000499725341796875,0.000499725341796875
./TEST/influence/influence_outputs/Qwen2.5-0.5B-Instruct-long_short/val_s1K-mix_s1_brief_cot_cluster_3_validation_grad.pt,1.233816146850586e-05,9.655952453613281e-06,1.0967254638671875e-05,1.341104507446289e-05,0.000102996826171875,0.00010633468627929688,0.00010776519775390625,8.916854858398438e-05,0.0005950927734375,0.0005950927734375,0.00055694580078125,0.000560760498046875
